Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202106,VENEZUELA,52,520110,101,1,2,"1100,00",5,6,Refugiado/Solicitante de Refúgio
202106,AFEGANISTÃO,52,520110,101,3,4,"1100,00",4,6,Sem Informação
202107,VENEZUELA,11,110020,101,1,1,"1586,00",5,6,Refugiado/Solicitante de Refúgio
202107,HAITI,33,330455,111,1,4,"27,75",4,1,Refugiado/Solicitante de Refúgio
202107,NATURALIDADE BRASILEIRA,33,330630,101,3,6,"2000,00",5,6,Sem Informação
202107,HAITI,35,352400,101,1,1,"1452,02",4,7,Sem Informação
202107,SUÍÇA,35,354780,101,1,4,"1330,25",4,6,Permanente
202107,MARROCOS,35,355030,101,3,4,"1230,00",3,6,Permanente
202107,PARAGUAI,41,410830,101,1,3,"1615,65",2,6,Sem Informação
202107,VENEZUELA,43,430310,101,1,2,"1299,81",6,6,Sem Informação
202107,VENEZUELA,43,431490,101,3,4,"1265,63",5,6,Sem Informação
202108,VENEZUELA,13,130260,101,1,4,"1100,00",2,6,Sem Informação
202108,VENEZUELA,13,130260,101,1,3,"1493,09",4,6,Sem Informação
202108,AFEGANISTÃO,23,230440,101,3,4,"1123,16",2,6,Sem Informação
202108,CHILE,27,270430,101,1,4,"1100,00",6,5,Permanente
202108,HAITI,33,330455,101,1,4,"1500,00",3,6,Refugiado/Solicitante de Refúgio
202108,NATURALIDADE BRASILEIRA,41,410690,101,3,4,"1539,85",5,6,Refugiado/Solicitante de Refúgio
202108,HAITI,41,411670,101,1,1,"1410,03",2,6,Temporário
202108,VENEZUELA,41,412550,101,1,4,"1100,00",2,6,Sem Informação
202108,VENEZUELA,43,430230,101,1,2,"1320,00",6,6,Refugiado/Solicitante de Refúgio
202108,VENEZUELA,52,520110,101,1,4,"1100,00",3,6,Refugiado/Solicitante de Refúgio
202108,VENEZUELA,53,530010,101,1,5,"1124,25",3,6,Refugiado/Solicitante de Refúgio
202109,COLÔMBIA,13,130260,101,3,4,"1155,00",3,7,Permanente
202109,NATURALIDADE BRASILEIRA,35,351970,105,3,5,"3541,18",5,4,Sem Informação
202109,VENEZUELA,35,354980,101,1,4,"1672,10",5,6,Sem Informação
202109,BOLÍVIA,35,355030,101,1,4,"1632,75",4,6,Sem Informação
202109,VENEZUELA,35,355030,101,1,4,"1104,68",4,6,Temporário
202109,VENEZUELA,35,355030,101,1,4,"1104,68",3,6,Temporário
202109,PARAGUAI,35,355030,101,3,4,"1500,00",3,6,Permanente
202109,JAPÃO,41,410830,101,3,4,"1523,38",2,6,Sem Informação
202109,PERU,42,420540,101,3,6,"3842,66",4,5,Permanente
202109,HAITI,51,510340,101,1,4,"1170,00",5,6,Permanente
202109,HAITI,51,510340,101,1,4,"1471,45",4,6,Permanente
202109,HAITI,51,510340,101,1,1,"1285,93",5,6,Permanente
202109,IÊMEN,53,530010,101,1,4,"1100,00",2,6,Sem Informação
202110,NATURALIDADE BRASILEIRA,13,130260,101,1,6,"3419,52",5,6,Sem Informação
202110,VENEZUELA,14,140010,101,1,3,"2017,22",2,6,Temporário
202110,AFEGANISTÃO,23,231355,101,1,4,"1100,00",3,6,Sem Informação
202110,VENEZUELA,31,313950,101,1,2,"1100,00",5,6,Refugiado/Solicitante de Refúgio
202110,VENEZUELA,35,354980,101,1,3,"1672,10",2,6,Sem Informação
